日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-22 10:15:51,1.635,小缘发饰供应链,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-22 10:16:04,15.011,小缘发饰供应链,globalAccountLoop,account,switch,switchAccount,已切换店铺: 小缘发饰供应链（CSS 流程）,是
2026-04-22 10:16:08,18.559,小缘发饰供应链,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-22 10:16:19,29.429,小缘发饰供应链,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥881.99
昨日
¥3,469.93
同行基准
¥4,139.4
用户支付金额
¥745.41
昨日
¥2,473.54
同行基准
¥3,925.13
客单价
¥2.97
昨日
¥2.34
同行基准
¥20.75
成交订单数
256
昨日
1,086
同行标杆
866
结算金额
¥802.94
昨日
¥3,256.79
同行基准
¥3,745.22
商品曝光人数
4.85
万
昨日
16.9万
同行标杆
20.39万
商品点击人数
1,621
昨日
6,364
同行标杆
6,695
成交人数
251
昨日
1,057
同行标杆
744
退款金额（退款时间）
¥84.13
昨日
¥258.14
同行顶尖
¥0
退款金额（支付时间）
¥73.17
昨日
¥174.66
同行顶尖
¥0
退款率（支付时间）
9.82%
昨日
7.06%
同行标杆
5.27%
成交退款金额（退款时间）
¥90.01
昨日
¥307.80
同行顶尖
¥0
退款订单数（退款时间）
31
昨日
96
同行标杆
11
退款订单数（支付时间）
27
昨日
74
同行标杆
3
商品曝光-点击转化率（人数）
3.35%
昨日
3.77%
同行基准
6.14%
商品点击-成交转化率（人数）
15.48%
昨日
16.61%
同行标杆
26.63%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-22 10:16:20,31.136,小缘发饰供应链,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-22 10:16:34,44.648,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-21,是
2026-04-22 10:16:39,50.254,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-22 10:16:40,51.368,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-22 10:16:43,54.097,小缘发饰供应链,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
2026-04-22 10:16:45,56.186,小缘发饰供应链,fxg_bill_history_report,interaction,export_bill_history_top,click+download,D:\Program Files (x86)\fff2_dianshang\output\抖店数据提取_20260422_101548_6f00259a\downloads\小缘发饰供应链_DL202604221016424385988609.csv,是
2026-04-22 10:16:49,59.830,小缘发饰供应链,fxg_aftersale_order_list_export,nav,goto,open_url,https://fxg.jinritemai.com/ffa/merchant-aftersale-workbench/aftersale/list,是
2026-04-22 10:16:53,63.526,小缘发饰供应链,fxg_aftersale_order_list_export,interaction,aftersale_expand_search_footer,click,#root > div > div:nth-child(1) > div[class*='searchForm'] > div[class*='footer'] > button[class*='aurora-btn-text'],是
2026-04-22 10:16:55,65.749,小缘发饰供应链,fxg_aftersale_order_list_export,interaction,refund_success,selectFilter,已选择「退款成功」（候选: 退款成功）,是
2026-04-22 10:17:09,79.453,小缘发饰供应链,fxg_aftersale_order_list_export,interaction,shipping_logistics_buyer_signed,selectFilter,已选择「买家已签收」（候选: 买家已签收）,是
2026-04-22 10:17:10,80.944,小缘发饰供应链,fxg_aftersale_order_list_export,interaction,aftersale_time_type_completion,selectFilter,已选择「完结时间」（候选: 完结时间）,是
